Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-03 17:15:12.012 +0100,"Failure",0:02:59,1,0,1,"20160603_171512.012/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Hoover"")"" within 8.00 seconds",0
2016-06-03 17:20:06.006 +0100,"Running",0:00:00,0,0,0,"20160603_172006.006/LogFile.txt","","",0
2016-06-03 17:24:10.010 +0100,"Failure",0:02:22,1,0,1,"20160603_172410.010/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Hoover"")"" within 8.00 seconds",0
2016-06-03 17:27:25.025 +0100,"Failure",0:02:35,1,0,1,"20160603_172725.025/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""newtodo""",1
2016-06-03 17:32:29.029 +0100,"Failure",0:01:17,1,0,0,"20160603_173229.029/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Image: BottomRight",0
2016-06-03 17:34:11.011 +0100,"Failure",0:02:48,1,0,1,"20160603_173411.011/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Save""",0
2016-06-03 17:37:43.043 +0100,"Failure",0:01:09,1,0,0,"20160603_173743.043/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Image: BottomRight",0
2016-06-03 17:39:00.000 +0100,"Running",0:00:00,0,0,0,"20160603_173900.000/LogFile.txt","","",0
2016-06-03 17:43:01.001 +0100,"Running",0:00:00,0,0,0,"20160603_174301.001/LogFile.txt","","",0
2016-06-03 17:49:44.044 +0100,"Failure",0:00:57,1,0,1,"20160603_174944.044/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Milk"")"" within 8.00 seconds",0
2016-06-03 17:50:47.047 +0100,"Failure",0:02:29,1,0,1,"20160603_175047.047/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Save""",0
2016-06-03 18:00:34.034 +0100,"Failure",0:05:33,1,0,1,"20160603_180034.034/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Shopping"")"" within 5.00 seconds  Restricted Search Rectangle ((383,181),(536,700))\n",1
2016-06-03 18:07:58.058 +0100,"Running",0:00:00,0,0,0,"20160603_180758.058/LogFile.txt","","",0
2016-06-03 18:10:18.018 +0100,"Failure",0:02:25,1,0,1,"20160603_181018.018/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Flour"")"" within 8.00 seconds",0
