Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-03 15:45:40.040 +0100,"Success",0:00:00,0,0,0,"20160603_154540.040/LogFile.txt","","",1
2016-06-03 15:52:37.037 +0100,"Success",0:00:00,0,0,0,"20160603_155237.037/LogFile.txt","","",1
2016-06-06 23:39:11.011 +0100,"Success",0:00:00,0,0,0,"20160606_233911.011/LogFile.txt","","",1
2016-06-07 21:11:59.059 +0100,"Success",0:00:00,0,0,0,"20160607_211159.059/LogFile.txt","","",1
2016-06-07 21:14:40.040 +0100,"Success",0:00:00,0,0,0,"20160607_211440.040/LogFile.txt","","",1
